Capture IP Address Packets

03:26:30.950798 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 745664:745820, ack 361, win 4063, length 156
03:26:31.206558 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1365464:1365620, ack 685, win 4063, length 156
03:26:31.206646 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1365620:1365984, ack 685, win 4063, length 364
03:26:31.206676 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1365984:1366140, ack 685, win 4063, length 156
03:26:31.206702 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1366140:1366296, ack 685, win 4063, length 156
03:26:31.206728 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1366296:1366452, ack 685, win 4063, length 156
03:26:31.206754 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1366452:1366608, ack 685, win 4063, length 156
03:26:31.206779 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1366608:1366764, ack 685, win 4063, length 156
03:26:31.206810 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1366764:1366920, ack 685, win 4063, length 156
03:26:31.206835 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1366920:1367076, ack 685, win 4063, length 156
03:26:31.206863 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1367076:1367232, ack 685, win 4063, length 156
03:26:31.206890 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1367232:1367388, ack 685, win 4063, length 156
03:26:31.206915 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1367388:1367544, ack 685, win 4063, length 156
03:26:31.206953 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1367544:1367700, ack 685, win 4063, length 156
03:26:31.206986 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1367700:1367856, ack 685, win 4063, length 156
03:26:31.207013 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1367856:1368012, ack 685, win 4063, length 156
03:26:31.207039 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1368012:1368168, ack 685, win 4063, length 156
03:26:31.207064 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1368168:1368324, ack 685, win 4063, length 156
03:26:31.207090 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1368324:1368480, ack 685, win 4063, length 156
03:26:31.207114 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1368480:1368636, ack 685, win 4063, length 156
03:26:31.207147 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1368636:1368792, ack 685, win 4063, length 156
03:26:31.207175 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1368792:1368948, ack 685, win 4063, length 156
03:26:31.207200 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1368948:1369104, ack 685, win 4063, length 156
03:26:31.207226 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1369104:1369260, ack 685, win 4063, length 156
03:26:31.207251 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1369260:1369416, ack 685, win 4063, length 156
03:26:31.207278 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1369416:1369572, ack 685, win 4063, length 156
03:26:31.207312 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1369572:1369728, ack 685, win 4063, length 156
03:26:31.207342 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1369728:1369884, ack 685, win 4063, length 156
03:26:31.207368 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1369884:1370040, ack 685, win 4063, length 156
03:26:31.207394 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1370040:1370196, ack 685, win 4063, length 156
03:26:31.207419 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1370196:1370352, ack 685, win 4063, length 156
03:26:31.211566 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1334732, win 2064, length 0
03:26:31.211566 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1339464, win 2064, length 0
03:26:31.211566 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1344612, win 2064, length 0
03:26:31.211588 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1370352:1370508, ack 685, win 4063, length 156
03:26:31.211688 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1370508:1370968, ack 685, win 4063, length 460
03:26:31.211722 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1370968:1371124, ack 685, win 4063, length 156
03:26:31.211749 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1371124:1371280, ack 685, win 4063, length 156
03:26:31.211774 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1371280:1371436, ack 685, win 4063, length 156
03:26:31.211801 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1371436:1371592, ack 685, win 4063, length 156
03:26:31.211827 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1371592:1371748, ack 685, win 4063, length 156
03:26:31.211852 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1371748:1371904, ack 685, win 4063, length 156
03:26:31.211879 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1371904:1372060, ack 685, win 4063, length 156
03:26:31.211909 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1372060:1372216, ack 685, win 4063, length 156
03:26:31.211938 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1372216:1372372, ack 685, win 4063, length 156
03:26:31.211964 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1372372:1372528, ack 685, win 4063, length 156
03:26:31.211989 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1372528:1372684, ack 685, win 4063, length 156
03:26:31.212017 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1372684:1372840, ack 685, win 4063, length 156
03:26:31.212042 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1372840:1372996, ack 685, win 4063, length 156
03:26:31.212068 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1372996:1373152, ack 685, win 4063, length 156
03:26:31.212097 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1373152:1373308, ack 685, win 4063, length 156
03:26:31.212126 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1373308:1373464, ack 685, win 4063, length 156
03:26:31.212153 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1373464:1373620, ack 685, win 4063, length 156
03:26:31.212178 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1373620:1373776, ack 685, win 4063, length 156
03:26:31.212204 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1373776:1373932, ack 685, win 4063, length 156
03:26:31.212229 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1373932:1374088, ack 685, win 4063, length 156
03:26:31.212255 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1374088:1374244, ack 685, win 4063, length 156
03:26:31.212282 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1374244:1374400, ack 685, win 4063, length 156
03:26:31.212379 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1374400:1374556, ack 685, win 4063, length 156
03:26:31.212410 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1374556:1374712, ack 685, win 4063, length 156
03:26:31.212437 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1374712:1374868, ack 685, win 4063, length 156
03:26:31.212464 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1374868:1375024, ack 685, win 4063, length 156
03:26:31.212500 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1375024:1375180, ack 685, win 4063, length 156
03:26:31.212528 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1375180:1375336, ack 685, win 4063, length 156
03:26:31.212554 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1375336:1375492, ack 685, win 4063, length 156
03:26:31.212580 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1375492:1375648, ack 685, win 4063, length 156
03:26:31.212605 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1375648:1375804, ack 685, win 4063, length 156
03:26:31.212631 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1375804:1375960, ack 685, win 4063, length 156
03:26:31.212664 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1375960:1376116, ack 685, win 4063, length 156
03:26:31.212689 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1376116:1376272, ack 685, win 4063, length 156
03:26:31.212715 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1376272:1376428, ack 685, win 4063, length 156
03:26:31.212744 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1376428:1376584, ack 685, win 4063, length 156
03:26:31.212771 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1376584:1376740, ack 685, win 4063, length 156
03:26:31.212798 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1376740:1376896, ack 685, win 4063, length 156
03:26:31.212823 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1376896:1377052, ack 685, win 4063, length 156
03:26:31.212849 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1377052:1377208, ack 685, win 4063, length 156
03:26:31.212874 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1377208:1377364, ack 685, win 4063, length 156
03:26:31.212899 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1377364:1377520, ack 685, win 4063, length 156
03:26:31.212942 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1377520:1377676, ack 685, win 4063, length 156
03:26:31.212968 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1377676:1377832, ack 685, win 4063, length 156
03:26:31.212992 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1377832:1377988, ack 685, win 4063, length 156
03:26:31.213017 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1377988:1378144, ack 685, win 4063, length 156
03:26:31.213041 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1378144:1378300, ack 685, win 4063, length 156
03:26:31.213067 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1378300:1378456, ack 685, win 4063, length 156
03:26:31.213096 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1378456:1378612, ack 685, win 4063, length 156
03:26:31.213124 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1378612:1378768, ack 685, win 4063, length 156
03:26:31.213151 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1378768:1378924, ack 685, win 4063, length 156
03:26:31.213175 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1378924:1379080, ack 685, win 4063, length 156
03:26:31.213201 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1379080:1379236, ack 685, win 4063, length 156
03:26:31.213226 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1379236:1379392, ack 685, win 4063, length 156
03:26:31.213252 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1379392:1379548, ack 685, win 4063, length 156
03:26:31.213277 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1379548:1379704, ack 685, win 4063, length 156
03:26:31.213308 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1379704:1379860, ack 685, win 4063, length 156
03:26:31.213335 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1379860:1380016, ack 685, win 4063, length 156
03:26:31.213361 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1380016:1380172, ack 685, win 4063, length 156
03:26:31.213388 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1380172:1380328, ack 685, win 4063, length 156
03:26:31.213401 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1349292, win 2064, length 0
03:26:31.213436 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1380328:1380588, ack 685, win 4063, length 260
03:26:31.213463 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1380588:1380744, ack 685, win 4063, length 156
03:26:31.213493 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1380744:1380900, ack 685, win 4063, length 156
03:26:31.213521 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1380900:1381056, ack 685, win 4063, length 156
03:26:31.213548 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1381056:1381212, ack 685, win 4063, length 156
03:26:31.213574 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1381212:1381368, ack 685, win 4063, length 156
03:26:31.213600 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1381368:1381524, ack 685, win 4063, length 156
03:26:31.213625 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1381524:1381680, ack 685, win 4063, length 156
03:26:31.213651 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1381680:1381836, ack 685, win 4063, length 156
03:26:31.213675 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1381836:1381992, ack 685, win 4063, length 156
03:26:31.213707 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1381992:1382148, ack 685, win 4063, length 156
03:26:31.213734 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1382148:1382304, ack 685, win 4063, length 156
03:26:31.213758 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1382304:1382460, ack 685, win 4063, length 156
03:26:31.213785 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1382460:1382616, ack 685, win 4063, length 156
03:26:31.213810 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1382616:1382772, ack 685, win 4063, length 156
03:26:31.213836 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1382772:1382928, ack 685, win 4063, length 156
03:26:31.213867 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1382928:1383084, ack 685, win 4063, length 156
03:26:31.213893 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1383084:1383240, ack 685, win 4063, length 156
03:26:31.213919 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1383240:1383396, ack 685, win 4063, length 156
03:26:31.213945 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1383396:1383552, ack 685, win 4063, length 156
03:26:31.213969 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1383552:1383708, ack 685, win 4063, length 156
03:26:31.213996 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1383708:1383864, ack 685, win 4063, length 156
03:26:31.214020 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1383864:1384020, ack 685, win 4063, length 156
03:26:31.214047 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1384020:1384176, ack 685, win 4063, length 156
03:26:31.214079 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1384176:1384332, ack 685, win 4063, length 156
03:26:31.214105 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1384332:1384488, ack 685, win 4063, length 156
03:26:31.214131 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1384488:1384644, ack 685, win 4063, length 156
03:26:31.214155 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1384644:1384800, ack 685, win 4063, length 156
03:26:31.214182 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1384800:1384956, ack 685, win 4063, length 156
03:26:31.214207 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1384956:1385112, ack 685, win 4063, length 156
03:26:31.214234 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1385112:1385268, ack 685, win 4063, length 156
03:26:31.214267 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1385268:1385424, ack 685, win 4063, length 156
03:26:31.214293 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1385424:1385580, ack 685, win 4063, length 156
03:26:31.214317 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1385580:1385736, ack 685, win 4063, length 156
03:26:31.214342 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1385736:1385892, ack 685, win 4063, length 156
03:26:31.214368 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1385892:1386048, ack 685, win 4063, length 156
03:26:31.214394 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1386048:1386204, ack 685, win 4063, length 156
03:26:31.214419 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1386204:1386360, ack 685, win 4063, length 156
03:26:31.214452 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1386360:1386516, ack 685, win 4063, length 156
03:26:31.214478 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1386516:1386672, ack 685, win 4063, length 156
03:26:31.214505 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1386672:1386828, ack 685, win 4063, length 156
03:26:31.214527 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [P.], seq 685:721, ack 1349292, win 2064, length 36
03:26:31.214527 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1353868, win 2064, length 0
03:26:31.214550 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [.], ack 721, win 4063, length 0
03:26:31.214567 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1386828:1386984, ack 721, win 4063, length 156
03:26:31.214611 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1386984:1387460, ack 721, win 4063, length 476
03:26:31.214637 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1387460:1387616, ack 721, win 4063, length 156
03:26:31.214666 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1387616:1387772, ack 721, win 4063, length 156
03:26:31.214691 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1387772:1387928, ack 721, win 4063, length 156
03:26:31.214716 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1387928:1388084, ack 721, win 4063, length 156
03:26:31.214740 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1388084:1388240, ack 721, win 4063, length 156
03:26:31.214768 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1388240:1388396, ack 721, win 4063, length 156
03:26:31.214793 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1388396:1388552, ack 721, win 4063, length 156
03:26:31.214819 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1388552:1388708, ack 721, win 4063, length 156
03:26:31.214848 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1388708:1388864, ack 721, win 4063, length 156
03:26:31.214875 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1388864:1389020, ack 721, win 4063, length 156
03:26:31.214903 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1389020:1389176, ack 721, win 4063, length 156
03:26:31.214930 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1389176:1389332, ack 721, win 4063, length 156
03:26:31.214955 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1389332:1389488, ack 721, win 4063, length 156
03:26:31.214981 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1389488:1389644, ack 721, win 4063, length 156
03:26:31.215011 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1389644:1389800, ack 721, win 4063, length 156
03:26:31.215038 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1389800:1389956, ack 721, win 4063, length 156
03:26:31.215064 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1389956:1390112, ack 721, win 4063, length 156
03:26:31.215088 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1390112:1390268, ack 721, win 4063, length 156
03:26:31.215114 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1390268:1390424, ack 721, win 4063, length 156
03:26:31.215139 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1390424:1390580, ack 721, win 4063, length 156
03:26:31.215165 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1390580:1390736, ack 721, win 4063, length 156
03:26:31.215189 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1390736:1390892, ack 721, win 4063, length 156
03:26:31.215221 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1390892:1391048, ack 721, win 4063, length 156
03:26:31.215246 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1391048:1391204, ack 721, win 4063, length 156
03:26:31.215273 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1391204:1391360, ack 721, win 4063, length 156
03:26:31.215299 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1391360:1391516, ack 721, win 4063, length 156
03:26:31.215324 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1391516:1391672, ack 721, win 4063, length 156
03:26:31.215355 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1391672:1391828, ack 721, win 4063, length 156
03:26:31.215385 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1391828:1391984, ack 721, win 4063, length 156
03:26:31.215410 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1391984:1392140, ack 721, win 4063, length 156
03:26:31.215437 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1392140:1392296, ack 721, win 4063, length 156
03:26:31.215462 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1392296:1392452, ack 721, win 4063, length 156
03:26:31.215488 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1392452:1392608, ack 721, win 4063, length 156
03:26:31.215513 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1392608:1392764, ack 721, win 4063, length 156
03:26:31.215538 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1392764:1392920, ack 721, win 4063, length 156
03:26:31.215570 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1392920:1393076, ack 721, win 4063, length 156
03:26:31.215598 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1393076:1393232, ack 721, win 4063, length 156
03:26:31.215623 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1393232:1393388, ack 721, win 4063, length 156
03:26:31.215648 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1393388:1393544, ack 721, win 4063, length 156
03:26:31.215673 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1393544:1393700, ack 721, win 4063, length 156
03:26:31.215700 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1393700:1393856, ack 721, win 4063, length 156
03:26:31.215725 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1393856:1394012, ack 721, win 4063, length 156
03:26:31.217488 IP 69.157.59.48.65302 > 159.203.58.6.22: Flags [.], ack 1359120, win 2064, length 0
03:26:31.217518 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1394012:1394168, ack 721, win 4063, length 156
03:26:31.217603 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1394168:1394428, ack 721, win 4063, length 260
03:26:31.217639 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1394428:1394584, ack 721, win 4063, length 156
03:26:31.217668 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1394584:1394740, ack 721, win 4063, length 156
03:26:31.217694 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1394740:1394896, ack 721, win 4063, length 156
03:26:31.217727 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1394896:1395052, ack 721, win 4063, length 156
03:26:31.217755 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1395052:1395208, ack 721, win 4063, length 156
03:26:31.217781 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1395208:1395364, ack 721, win 4063, length 156
03:26:31.217808 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1395364:1395520, ack 721, win 4063, length 156
03:26:31.217834 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1395520:1395676, ack 721, win 4063, length 156
03:26:31.217861 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1395676:1395832, ack 721, win 4063, length 156
03:26:31.217889 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1395832:1395988, ack 721, win 4063, length 156
03:26:31.217922 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1395988:1396144, ack 721, win 4063, length 156
03:26:31.217949 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1396144:1396300, ack 721, win 4063, length 156
03:26:31.217976 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1396300:1396456, ack 721, win 4063, length 156
03:26:31.218001 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1396456:1396612, ack 721, win 4063, length 156
03:26:31.218030 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1396612:1396768, ack 721, win 4063, length 156
03:26:31.218057 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1396768:1396924, ack 721, win 4063, length 156
03:26:31.218084 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1396924:1397080, ack 721, win 4063, length 156
03:26:31.218113 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1397080:1397236, ack 721, win 4063, length 156
03:26:31.218141 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1397236:1397392, ack 721, win 4063, length 156
03:26:31.218166 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1397392:1397548, ack 721, win 4063, length 156
03:26:31.218194 IP 159.203.58.6.22 > 69.157.59.48.65302: Flags [P.], seq 1397548:1397704, ack 721, win 4063, length 156
